0	259877	520
1	180537	725
2	149101	900
3	134018	1080
4	126356	1276
5	120291	1461
6	116604	1655
7	115019	1870
8	111905	2051
9	110071	2246
10	107639	2421
11	106330	2614
12	104830	2798
13	103682	2986
14	103261	3193
15	103641	3426
16	103011	3625
17	102154	3814
18	101424	4006
19	100862	4202
20	100205	4393
21	99791	4592
22	99389	4792
23	99814	5032
24	100111	5269
25	100363	5505
26	100664	5746
27	101156	6000
28	101069	6222
29	101043	6449
30	101043	6678
31	101100	6912
32	101037	7139
33	100533	7335
34	99911	7520
35	99245	7700
36	98707	7888
37	99942	8220
38	99475	8415
39	99153	8622
40	98612	8808
41	98312	9015
42	98711	9287
43	98618	9515
44	98633	9754
45	98243	9954
46	98148	10183
47	98044	10411
48	97637	10608
49	97518	10835
50	97084	11027
51	97057	11265
52	97313	11538
53	97288	11779
54	96772	11960
55	96660	12191
56	96180	12375
57	95736	12562
58	95529	12780
59	95218	12984
60	94940	13192
61	94717	13407
62	94327	13598
63	94014	13800
64	93591	13984
65	93262	14182
66	92991	14389
67	92593	14574
68	92373	14788
69	91995	14976
70	92004	15226
71	91958	15469
72	91880	15707
73	91673	15924
74	91779	16196
75	91556	16411
76	91214	16604
77	90968	16814
78	90651	17010
79	90309	17201
80	90093	17416
81	89855	17627
82	89505	17815
83	89245	18020
84	88986	18226
85	88717	18429
86	88349	18611
87	87924	18779
88	87720	18995
89	87419	19189
90	87300	19423
91	87105	19641
92	86900	19856
93	86710	20075
94	86540	20299
95	86357	20520
96	85949	20687
97	85541	20853
98	85129	21016
99	84758	21189
100	84384	21360
101	84119	21558
102	83793	21739
103	83443	21914
104	83071	22082
105	82732	22257
106	82363	22424
107	81991	22589
108	81674	22768
109	81359	22947
110	81047	23126
111	80708	23297
112	80330	23455
113	80002	23627
114	79653	23792
115	79319	23961
116	78982	24127
117	78701	24310
118	78381	24481
119	78071	24654
120	77740	24819
121	77424	24988
122	77116	25160
123	76804	25329
124	76500	25500
125	76203	25672
126	75889	25838
127	75587	26008
128	75320	26189
129	75081	26379
130	74853	26574
131	74579	26751
132	74625	27044
133	74845	27402
134	74551	27574
135	74427	27808
136	74211	28008
137	73935	28185
138	73697	28376
139	73392	28541
140	73648	28926
141	73351	29094
142	73158	29304
143	72882	29480
144	72604	29655
145	72373	29848
146	72257	30090
147	72139	30331
148	72025	30575
149	71857	30795
150	71575	30968
151	71321	31151
152	71060	31331
153	70876	31546
154	70583	31711
155	70353	31904
156	70088	32081
157	69938	32310
158	69933	32608
159	69648	32775
160	69403	32961
161	69123	33130
162	68877	33314
163	68605	33486
