iter	RMSE
349	33.12909372
350	33.10452317
351	33.08234252
352	33.02759372
353	32.97967897
354	32.92518936
355	32.86566915
356	32.81831147
357	32.77667771
358	32.70565838
359	32.64648729
360	32.60971878
361	32.56688005
362	32.51521858
363	32.50420743
364	32.41454074
365	32.34985666
366	32.31413554
367	32.23837271
368	32.20286476
369	32.12447717
370	32.06898527
371	31.94637984
372	31.89227449
373	31.84892032
374	31.79480861
375	31.75642842
376	31.72695084
377	31.65480904
378	31.63151713
379	31.58945904
380	31.55358788
381	31.50857625
382	31.46857352
383	31.42770471
384	31.38004312
385	31.34154135
386	31.30580672
387	31.26844696
388	31.23238684
389	31.17886103
390	31.12846266
391	31.10306846
392	31.04846975
393	31.01623216
394	30.97163169
395	30.93051839
396	30.9134028
397	30.86254099
398	30.82747372
399	30.78741315
400	30.76600265
401	30.732534
402	30.71966874
403	30.68564958
404	30.66635136
405	30.64206443
406	30.60366123
407	30.58423776
408	30.56427182
409	30.51682113
410	30.46851735
411	30.42003207
412	30.35768219
413	30.29543301
414	30.25532713
415	30.21434016
416	30.20064023
417	30.17829413
418	30.14779144
419	30.08259649
420	30.02845625
421	29.9963787
422	29.97314011
423	29.92371816
424	29.89761708
425	29.87212773
426	29.82963455
427	29.7666854
428	29.73287961
429	29.6946472
430	29.66772939
431	29.60979449
432	29.57786616
433	29.55832337
434	29.52465363
435	29.49074279
436	29.43271106
437	29.38742127
438	29.36052062
439	29.31212136
440	29.25996957
441	29.21779785
442	29.18076993
443	29.15299476
444	29.11473108
445	29.07694143
446	29.04548622
447	29.01338767
448	28.96655802
449	28.94907612
450	28.91962295
451	28.89567794
452	28.85100263
453	28.82540343
454	28.76760465
455	28.69855523
456	28.67207619
457	28.64263404
458	28.62158243
459	28.57095625
460	28.55633894
461	28.53312147
462	28.50554605
463	28.44199491
464	28.4132568
465	28.37721695
466	28.339278
467	28.31312697
468	28.25466383
469	28.23457547
470	28.18331116
471	28.1594652
472	28.13120755
473	28.09690794
474	28.0839502
475	28.04054152
476	28.00249267
477	27.95801411
478	27.91437212
479	27.88890736
480	27.83509735
481	27.80372331
482	27.77558469
483	27.73269044
484	27.70174761
485	27.67628481
486	27.62737199
487	27.59383363
488	27.55522117
489	27.53782695
490	27.5128908
491	27.46894373
492	27.42004674
493	27.39504324
494	27.35621138
495	27.34124867
496	27.30352524
497	27.27144723
498	27.24696729
499	27.21074472
